HQS率0.0%,SQS率0.0%,被打率.316,被BABIP.352,被出塁率.378,被長打率.460,K/BB1.87,K/95.64,BB/93.02,HR/91.01,GO/AO0.92,援護率2.85,IPR2.33,NHB%25.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.11,77.3%,-5.79,-0.68,-7.25,154,2.0,41,13,7.0,3,1,3,
