NOI357.8,GPA.193,RC11.54,RC271.85,XR12.13,XR271.95,RCAA-8.94,XR+-8.58,RCWIN-1.03,XRWIN-0.99,BABIP.261
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.11,0.021,52.00,5.62,0.095,50.25,0.104,0.413,0.00,21.6%,
