チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ソフトバンク,9.39,9,0,9,0,0,1,0,1,0,0,0,7.2,16,1,8,3,1,8,8,2.48,0.421,-,0.96
日本ハム,2.45,8,0,8,1,1,2,0,3,1,1,1,7.1,6,1,6,2,0,2,2,1.09,0.231,-,3.67
ロッテ,1.08,11,0,11,0,0,6,0,6,0,0,0,8.1,4,0,7,4,0,1,1,0.96,0.148,-,8.33
オリックス,4.5,7,0,7,0,0,2,0,2,0,0,0,6.0,6,1,4,4,0,3,3,1.67,0.25,-,2.0
西武,1.8,13,0,13,1,0,4,0,5,1,1,0,10.0,8,1,4,2,0,3,2,1.0,0.229,-,3.33
