種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,4.5,5,0,5,0,0,0,0,0,0,0,0,6.0,5,1,2,2,1,3,3,1.17,0.227,-,2.0
Nighter,1.32,19,0,19,2,0,0,0,2,2,2,0,27.1,22,0,17,6,2,5,4,1.02,0.22,-,5.47
