HQS率-,SQS率-,被打率.221,被BABIP.255,被出塁率.286,被長打率.287,K/BB2.38,K/95.13,BB/92.16,HR/90.27,GO/AO0.73,援護率-,IPR4.17,NHB%25.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.92,82.0%,4.10,0.48,4.01,120,4.0,0,0,33.1,8,6,20,
