NOI0.0,GPA.000,RC-1.01,RC27-1.94,XR-0.90,XR27-1.74,RCAA-2.34,XR+-2.24,RCWIN-0.28,XRWIN-0.26,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,3.50,0.000,-,0.000,0.000,-,28.6%,
