球場,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
横浜,3.56,10,5,5,2,0,1,0,1,0,0,0,43.0,35,5,40,12,0,19,17,1.09,0.222,4.50,1.33
東京ドーム,3.55,2,2,0,0,1,0,0,0,0,0,0,12.2,7,3,15,2,0,5,5,0.71,0.159,1.29,-
甲子園,2.45,2,2,0,0,2,0,0,0,0,0,0,11.0,8,1,13,3,0,7,3,1.0,0.19,0.00,-
マツダスタジアム,5.40,2,1,1,0,1,0,0,0,0,0,0,5.0,5,0,7,0,0,3,3,1.0,0.25,3.60,99.00
神宮,1.29,2,1,1,0,0,0,0,0,0,0,0,7.0,4,0,4,1,0,1,1,0.71,0.16,1.29,99.00
バンテリンドーム,6.43,2,1,1,1,1,0,0,0,0,0,1,7.0,11,0,10,1,0,5,5,1.71,0.355,9.00,0.50
Ce その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
みずほPayPay,3.60,1,1,0,0,0,0,0,0,0,0,0,5.0,3,1,5,2,0,2,2,1.0,0.167,3.00,-
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ZOZOマリン,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
