NOI277.8,GPA.158,RC0.27,RC271.46,XR0.24,XR271.29,RCAA-0.32,XR+-0.36,RCWIN-0.04,XRWIN-0.04,BABIP.500
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,1.50,0.167,-,0.167,0.400,-,66.7%,
