HQS率22.2%,SQS率22.2%,被打率.249,被BABIP.260,被出塁率.280,被長打率.360,K/BB2.83,K/94.14,BB/91.46,HR/90.89,GO/AO0.91,援護率4.54,IPR3.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.59,81.0%,5.25,0.61,9.49,403,2.0,115,58,3.0,1,0,1,
