防御率2.27,試合20,先発18,救援2,連投(試)0,連投(日)0,勝利7,敗戦5,HLD0,Ｓ0,ＨＰ2,ＳＰ2,救勝2,救敗0,完投2,完封1,無四球2
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.583,111.0,450,1606,14.5,105,11,51,18,1,1,2,0,36,28,1.11,50.0%
