打率.304,試合125,打席443,打数418,得点44,安打127,内安24,内安率18.9,２Ｂ17,３Ｂ6,本塁5,HR勝敗4-1-0,塁打171,打点49,三振63
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
7,0,3,11,4,12,4,75.0,6,0,4,.314,.317,.409,.726
