条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.303,311,294,89,11,5,4,40,5,2,7,3
対左投手,0.306,132,124,38,6,1,1,23,2,1,4,1
