HQS率0.0%,SQS率0.0%,被打率.302,被BABIP.333,被出塁率.333,被長打率.472,K/BB4.00,K/95.40,BB/91.35,HR/90.68,GO/AO0.76,援護率2.25,IPR99.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.00,68.2%,-2.16,-0.25,-2.60,40,0.0,8,2,6.0,0,0,3,
