HQS率0.0%,SQS率0.0%,被打率.315,被BABIP.393,被出塁率.388,被長打率.387,K/BB2.08,K/97.67,BB/93.68,HR/90.00,GO/AO0.80,援護率3.00,IPR3.67,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.40,68.0%,-5.35,-0.63,-5.31,98,0.2,27,9,3.2,1,0,1,
