条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.285,229,200,57,8,2,7,32,21,3,4,1
対左打者,0.262,225,202,53,7,4,4,24,16,2,2,3
