HQS率15.8%,SQS率15.8%,被打率.274,被BABIP.292,被出塁率.339,被長打率.423,K/BB1.51,K/94.88,BB/93.22,HR/90.96,GO/AO0.97,援護率2.33,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.26,71.0%,-16.60,-1.92,-18.10,350,0.0,108,28,0.0,0,0,0,
