左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
32.9% (80),32.9% (80),32.9% (80),22.2% (54),22.2% (54),22.2% (54),44.9% (109),44.9% (109),44.9% (109)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
27.5% (19),28.6% (2),35.3% (59),33.3% (23),0.0% (0),18.6% (31),39.1% (27),71.4% (5),46.1% (77)
