打率.265,試合103,打席312,打数287,得点35,安打76,内安4,内安率5.3,２Ｂ13,３Ｂ0,本塁7,HR勝敗5-1-0,塁打110,打点32,三振42
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
20,1,3,2,0,1,2,33.3,4,0,6,.256,.319,.383,.703
