球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,526,38.8%,147.5,35,108,89,183,44.1%,14.9%,.236,127,30,5,21,16,0
スライダー,205,15.1%,129.0,13,57,19,88,43.4%,21.7%,.179,39,7,1,11,3,0
カットボール,153,11.3%,136.9,19,47,20,46,56.2%,31.7%,.231,26,6,1,7,3,0
フォーク,131,9.7%,136.2,15,22,23,53,45.8%,26.8%,.231,26,6,0,8,2,0
ツーシーム,101,7.5%,144.8,5,20,23,34,47.5%,10.6%,.273,22,6,0,3,2,0
チェンジアップ,81,6.0%,127.3,10,14,8,37,39.5%,33.3%,.059,17,1,0,5,3,0
カーブ,65,4.8%,118.3,3,19,8,25,46.2%,14.3%,.500,10,5,0,0,0,0
スプリット,32,2.4%,138.6,7,2,6,12,46.9%,38.9%,.222,9,2,0,4,2,0
ナックルカーブ,24,1.8%,125.9,0,7,2,11,37.5%,0.0%,.250,4,1,0,0,0,0
シュート,15,1.1%,140.5,0,0,8,4,53.3%,0.0%,.333,3,1,0,0,1,0
パワーカーブ,10,0.7%,121.6,0,2,1,5,30.0%,0.0%,.333,3,1,0,1,0,0
シンカー,6,0.4%,128.2,2,1,1,2,66.7%,66.7%,.000,2,0,0,2,0,0
スローカーブ,2,0.1%,96.0,0,1,0,0,50.0%,0.0%,.000,1,0,0,0,0,0
ワンシーム,2,0.1%,141.5,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
縦スライダー,1,0.1%,129.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
パーム,1,0.1%,115.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
