月名,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
3・4月,.224,21,62,58,6,13,2,0,1,18,3,10,1,0,0,3,0,0,0,3,.237,.310,0.548
5月,.255,18,61,55,3,14,1,0,0,15,4,14,6,0,0,0,0,0,0,1,.328,.273,0.601
6月,.152,15,42,33,1,5,2,0,0,7,1,7,6,0,0,3,0,0,0,0,.282,.212,0.494
7月,.148,16,31,27,3,4,0,0,1,7,2,6,4,0,0,0,0,0,1,1,.258,.259,0.517
8月,.327,20,60,55,8,18,1,0,4,31,6,10,5,0,0,0,0,1,0,0,.383,.564,0.947
9月,.204,19,65,54,4,11,2,0,1,16,3,14,10,0,0,1,0,0,0,0,.328,.296,0.624
10月,.143,3,7,7,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,.143,.143,0.286
11月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
