打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,83,23,0.277,5,18,10,2,0,0.355
2打席目,83,17,0.205,0,19,7,2,0,0.267
3打席目,69,17,0.246,0,12,9,1,0,0.333
4打席目,41,8,0.195,1,8,3,2,0,0.25
5打席目以上,6,0,0.0,0,1,0,0,0,0.0
