HQS率30.8%,SQS率30.8%,被打率.216,被BABIP.268,被出塁率.261,被長打率.358,K/BB4.48,K/99.33,BB/92.08,HR/90.99,GO/AO0.92,援護率3.21,IPR1.37,NHB%25.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.73,65.0%,-9.09,-1.07,-6.06,312,8.0,84,30,12.1,9,2,4,
