防御率3.57,試合21,先発13,救援8,連投(試)0,連投(日)0,勝利3,敗戦5,HLD1,Ｓ0,ＨＰ1,ＳＰ0,救勝0,救敗1,完投1,完封1,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.375,90.2,361,1430,15.8,73,10,94,21,3,0,1,0,42,36,1.04,53.8%
