防御率3.29,試合14,先発14,救援0,連投(試)0,連投(日)0,勝利3,敗戦5,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.375,79.1,339,1386,17.5,75,2,66,28,0,5,3,0,30,29,1.30,57.1%
