HQS率21.4%,SQS率21.4%,被打率.251,被BABIP.313,被出塁率.323,被長打率.341,K/BB2.36,K/97.49,BB/93.18,HR/90.23,GO/AO1.12,援護率1.55,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.68,74.1%,-1.20,-0.14,-2.80,268,0.0,87,15,0.0,0,0,0,
