アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,82,36.3%,安打,75,66.4%
フライ,73,32.3%,四死球,33,29.2%
空三振,44,19.5%,失策出塁,5,4.4%
見三振,22,9.7%,野選,0,0.0%
犠打,5,2.2%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
