球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,856,47.8%,146.2,39,226,153,294,48.8%,11.6%,.206,189,39,3,49,10,2
フォーク,381,21.3%,134.0,52,40,73,115,43.3%,23.0%,.208,120,25,2,22,2,1
カーブ,211,11.8%,121.9,23,50,31,60,49.3%,22.8%,.365,52,19,2,6,2,0
カットボール,192,10.7%,131.5,17,31,29,63,40.1%,17.3%,.246,57,14,4,6,2,0
スライダー,91,5.1%,129.5,4,23,18,26,49.5%,9.5%,.435,23,10,1,3,0,0
ツーシーム,37,2.1%,135.4,5,4,11,10,54.1%,21.7%,.111,9,1,0,2,0,0
シュート,23,1.3%,143.9,2,1,6,9,39.1%,15.4%,.400,5,2,0,0,0,2
チェンジアップ,1,0.1%,115.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
