防御率2.68,試合22,先発22,救援0,連投(試)0,連投(日)0,勝利6,敗戦9,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投1,完封1,無四球1
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.400,121.0,488,1792,14.8,110,12,88,19,3,5,0,0,42,36,1.07,54.5%
