球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,437,44.5%,147.5,36,73,128,136,54.2%,15.8%,.253,83,21,2,20,5,1
スライダー,132,13.5%,129.6,17,19,20,38,42.4%,22.7%,.256,43,11,1,6,0,0
フォーク,114,11.6%,136.0,18,4,25,42,41.2%,26.5%,.172,29,5,0,6,1,0
カットボール,100,10.2%,138.2,13,10,28,29,51.0%,21.3%,.348,23,8,1,3,2,2
カーブ,63,6.4%,113.8,3,10,17,21,47.6%,9.4%,.231,13,3,0,1,0,0
チェンジアップ,59,6.0%,129.9,7,7,16,17,50.8%,20.0%,.214,14,3,0,4,0,0
ツーシーム,25,2.5%,139.5,3,6,3,5,48.0%,21.4%,.000,9,0,0,1,1,0
スプリット,19,1.9%,139.1,2,3,3,8,42.1%,25.0%,.200,5,1,1,2,1,1
シュート,13,1.3%,143.3,0,1,3,4,30.8%,0.0%,.250,4,1,0,0,0,0
ナックルカーブ,8,0.8%,129.2,1,0,0,6,12.5%,50.0%,.500,2,1,0,1,1,0
シンカー,5,0.5%,126.4,0,0,3,1,60.0%,0.0%,.000,1,0,0,0,0,0
縦スライダー,3,0.3%,130.7,1,0,1,1,66.7%,50.0%,.000,1,0,0,1,0,0
高速スライダー,2,0.2%,138.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
スローカーブ,1,0.1%,82.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
