打率.295,試合74,打席119,打数105,得点26,安打31,内安9,内安率29.0,２Ｂ2,３Ｂ2,本塁0,HR勝敗0,塁打37,打点4,三振29
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
13,1,0,1,0,17,5,77.3,3,0,0,.250,.373,.352,.725
