打率.254,試合54,打席128,打数114,得点26,安打29,内安5,内安率17.2,２Ｂ6,３Ｂ1,本塁3,HR勝敗2-1-0,塁打46,打点10,三振15
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
6,0,2,6,0,6,2,75.0,1,0,0,.250,.303,.404,.707
