打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,94,21,0.223,0,15,5,0,0,0.263
2打席目,88,24,0.273,1,14,9,2,0,0.34
3打席目,85,30,0.353,1,10,9,4,0,0.415
4打席目,85,28,0.329,3,8,9,1,0,0.394
5打席目以上,41,9,0.22,1,9,6,3,0,0.319
