連続項目,フラグ (現状値 / 最高値)
安打,4打席 / 5打席
本塁打,0打席 / 1打席
無安打,0打席 / 17打席
三振,0打席 / 2打席
無三振,12打席 / 36打席
出塁,4打席 / 7打席
