打率.204,試合62,打席130,打数108,得点21,安打22,内安0,内安率0.0,２Ｂ3,３Ｂ2,本塁0,HR勝敗0,塁打29,打点10,三振31
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
14,0,2,4,2,3,2,60.0,2,0,0,.207,.302,.269,.570
