NOI251.6,GPA.132,RC0.63,RC270.38,XR0.84,XR270.51,RCAA-4.41,XR+-4.23,RCWIN-0.52,XRWIN-0.50,BABIP.250
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,4.08,0.000,-,0.019,0.250,0.00,24.5%,
