球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,57,31.1%,149.0,8,9,11,14,49.1%,23.5%,.250,20,5,0,5,0,0
スライダー,34,18.6%,129.2,7,4,11,10,64.7%,35.0%,.250,4,1,0,2,0,0
フォーク,20,10.9%,135.3,5,2,6,4,65.0%,35.7%,.000,4,0,0,1,0,0
カットボール,17,9.3%,137.4,3,2,2,3,41.2%,25.0%,.143,7,1,0,0,0,0
チェンジアップ,15,8.2%,134.6,5,2,0,5,46.7%,62.5%,.000,5,0,0,2,0,0
ツーシーム,13,7.1%,141.8,0,3,4,1,53.8%,0.0%,.200,5,1,0,0,0,0
シュート,10,5.5%,149.0,2,3,1,2,60.0%,40.0%,.333,3,1,0,1,0,0
カーブ,6,3.3%,122.5,2,1,0,2,50.0%,66.7%,.000,2,0,0,1,0,0
スプリット,4,2.2%,137.3,1,0,2,1,75.0%,33.3%,.000,1,0,0,1,0,0
高速スライダー,3,1.6%,-,0,0,2,0,66.7%,0.0%,.000,1,0,0,0,0,0
ナックルカーブ,2,1.1%,132.0,0,0,0,1,0.0%,0.0%,1.000,1,1,0,0,0,0
シンカー,1,0.5%,124.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
スクリュー,1,0.5%,-,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
