防御率4.24,試合28,先発0,救援28,連投(試)0,連投(日)0,勝利2,敗戦2,HLD10,Ｓ0,ＨＰ12,ＳＰ2,救勝2,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,23.1,107,432,18.5,25,2,21,10,0,0,0,0,12,11,1.50,-
