球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,227,52.5%,140.8,19,47,47,70,49.8%,17.3%,.214,56,12,1,15,4,0
カットボール,144,33.3%,131.1,15,22,26,58,43.8%,23.4%,.208,24,5,1,4,5,0
スライダー,29,6.7%,126.5,5,5,4,12,48.3%,41.7%,.750,4,3,0,1,0,0
フォーク,14,3.2%,132.7,2,1,1,9,28.6%,50.0%,.500,2,1,0,1,1,0
チェンジアップ,13,3.0%,131.8,1,0,1,6,15.4%,14.3%,.800,5,4,0,0,0,0
シュート,5,1.2%,138.8,1,1,0,3,40.0%,100.0%,-,0,0,0,0,0,0
