NOI55.6,GPA.029,RC-1.79,RC27-1.86,XR-1.57,XR27-1.63,RCAA-4.35,XR+-4.15,RCWIN-0.51,XRWIN-0.49,BABIP.111
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,1.80,-0.000,-,0.000,0.043,-,55.6%,
