連続項目,フラグ (現状値 / 最高値)
安打,1打席 / 4打席
本塁打,0打席 / 1打席
無安打,0打席 / 17打席
三振,0打席 / 3打席
無三振,5打席 / 40打席
出塁,1打席 / 5打席
