NOI438.8,GPA.235,RC42.96,RC274.08,XR41.91,XR273.98,RCAA3.58,XR+2.07,RCWIN0.41,XRWIN0.24,BABIP.311
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.26,0.042,25.00,6.56,0.103,61.33,0.152,0.593,3.00,20.8%,
