球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,682,43.0%,146.8,32,148,144,250,47.5%,11.3%,.252,123,31,1,23,25,0
スライダー,181,11.4%,127.9,13,44,26,75,45.9%,21.0%,.143,28,4,0,8,2,0
カットボール,162,10.2%,138.3,11,39,30,50,49.4%,15.1%,.189,37,7,0,5,4,1
フォーク,150,9.5%,135.6,16,14,24,73,36.0%,25.4%,.290,31,9,0,8,3,0
ツーシーム,101,6.4%,141.6,4,24,17,33,44.6%,9.1%,.250,24,6,0,3,3,0
チェンジアップ,91,5.7%,131.3,8,17,13,39,41.8%,22.9%,.111,18,2,0,5,1,0
カーブ,83,5.2%,116.2,6,21,8,39,42.2%,26.1%,.077,13,1,0,5,1,0
スプリット,44,2.8%,140.3,11,8,6,15,56.8%,52.4%,.000,9,0,0,5,0,0
シュート,28,1.8%,141.0,0,4,6,11,35.7%,0.0%,.800,5,4,0,0,0,0
縦スライダー,20,1.3%,129.8,1,8,3,6,60.0%,16.7%,.000,2,0,0,0,0,0
ナックルカーブ,16,1.0%,124.3,3,1,1,9,31.3%,50.0%,.200,5,1,0,3,0,0
シンカー,13,0.8%,131.2,1,2,2,6,38.5%,20.0%,.000,2,0,0,0,1,0
パワーカーブ,9,0.6%,121.5,0,4,1,2,55.6%,0.0%,.000,2,0,0,0,0,0
スローカーブ,6,0.4%,95.3,0,4,1,1,83.3%,0.0%,-,0,0,0,0,0,0
