月名,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
3・4月,.239,24,93,88,10,21,5,0,1,29,6,20,3,0,2,0,0,1,1,0,.280,.330,0.609
5月,.100,4,10,10,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,.100,.100,0.2
6月,.207,15,31,29,4,6,2,0,0,8,2,15,1,0,0,0,1,3,0,1,.226,.276,0.502
7月,.167,4,6,6,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,.167,.167,0.333
8月,.367,14,30,30,7,11,2,1,1,18,2,8,0,0,0,0,0,2,2,0,.367,.600,0.967
9月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
10月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
11月,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
