NOI387.2,GPA.209,RC15.06,RC273.18,XR15.08,XR273.18,RCAA-1.10,XR+-1.16,RCWIN-0.13,XRWIN-0.14,BABIP.342
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.08,0.025,42.50,3.33,0.104,81.50,0.147,0.520,3.00,33.5%,
