打率.245,試合61,打席170,打数163,得点21,安打40,内安4,内安率10.0,２Ｂ9,３Ｂ1,本塁2,HR勝敗1-1-0,塁打57,打点10,三振51
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
4,0,2,0,1,6,3,66.7,1,0,1,.294,.271,.350,.620
