球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,256,41.8%,147.5,45,49,59,72,59.8%,33.3%,.204,54,11,0,24,2,1
スライダー,114,18.6%,129.2,33,8,26,29,58.8%,42.9%,.138,29,4,0,11,1,0
フォーク,63,10.3%,136.5,8,4,20,13,50.8%,17.4%,.182,22,4,0,4,0,0
カットボール,60,9.8%,136.5,8,4,15,15,45.0%,19.5%,.400,20,8,1,2,0,0
チェンジアップ,30,4.9%,132.0,9,1,5,8,50.0%,42.9%,.250,12,3,1,5,0,0
スプリット,25,4.1%,141.3,8,0,3,7,44.0%,44.4%,.333,9,3,0,2,1,0
カーブ,23,3.8%,119.7,5,2,6,7,56.5%,35.7%,.200,5,1,0,2,0,0
ツーシーム,18,2.9%,142.6,1,1,6,5,44.4%,8.3%,.600,5,3,0,0,0,0
シュート,11,1.8%,144.0,0,0,2,6,18.2%,0.0%,.667,3,2,0,0,0,1
シンカー,5,0.8%,136.3,1,0,2,0,60.0%,20.0%,.500,2,1,0,0,0,0
ナックルカーブ,4,0.7%,127.0,0,0,1,2,25.0%,0.0%,.000,1,0,0,0,0,0
スラーブ,1,0.2%,125.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
スローカーブ,1,0.2%,103.0,1,0,0,0,100.0%,100.0%,.000,1,0,0,1,0,0
パワーカーブ,1,0.2%,121.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
