HQS率0.0%,SQS率0.0%,被打率.291,被BABIP.325,被出塁率.364,被長打率.423,K/BB1.38,K/95.80,BB/94.20,HR/90.80,GO/AO1.20,援護率4.41,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.97,64.8%,-13.66,-1.61,-10.14,165,0.0,49,24,0.0,0,0,0,
