防御率4.96,試合18,先発0,救援18,連投(試)0,連投(日)0,勝利2,敗戦2,HLD1,Ｓ0,ＨＰ3,ＳＰ2,救勝2,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,16.1,64,259,15.9,14,6,12,3,0,0,0,0,10,9,1.04,-
