種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,4.09,12,0,12,2,2,0,0,2,2,2,2,11.0,9,4,10,0,0,6,5,0.82,0.22,-,1.83
Visitor,6.75,6,0,6,0,0,1,0,1,0,0,0,5.1,5,2,2,3,0,4,4,1.5,0.263,-,1.33
