HQS率-,SQS率-,被打率.233,被BABIP.190,被出塁率.270,被長打率.533,K/BB4.00,K/96.61,BB/91.65,HR/93.31,GO/AO0.74,援護率-,IPR1.63,NHB%44.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
6.59,81.4%,-3.93,-0.45,-3.48,79,4.1,0,0,16.1,10,8,12,
