球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,161,62.2%,150.3,8,29,46,45,51.6%,9.2%,.243,37,9,4,4,2,0
フォーク,44,17.0%,137.9,10,2,4,21,36.4%,47.6%,.111,9,1,1,3,1,0
カットボール,41,15.8%,136.8,9,6,5,14,48.8%,42.9%,.250,12,3,1,5,0,0
スライダー,7,2.7%,133.0,1,2,1,3,57.1%,50.0%,-,0,0,0,0,0,0
カーブ,5,1.9%,119.8,0,0,1,3,20.0%,0.0%,1.000,1,1,0,0,0,0
チェンジアップ,1,0.4%,132.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
