HQS率0.0%,SQS率0.0%,被打率.286,被BABIP.289,被出塁率.438,被長打率.551,K/BB0.82,K/96.08,BB/97.42,HR/92.02,GO/AO0.69,援護率2.40,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
7.50,67.2%,-7.16,-0.84,-7.60,40,0.0,15,4,0.0,0,0,0,
