球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,145,45.9%,147.8,2,22,33,45,39.3%,2.6%,.319,47,15,0,5,3,1
フォーク,48,15.2%,136.4,10,8,6,16,50.0%,41.7%,.250,12,3,0,4,0,0
チェンジアップ,34,10.8%,126.4,3,6,4,14,38.2%,21.4%,.143,7,1,0,1,0,0
カットボール,24,7.6%,137.0,1,4,9,8,58.3%,8.3%,.000,1,0,0,0,0,1
スライダー,14,4.4%,128.4,1,2,0,7,21.4%,20.0%,.000,5,0,0,1,1,0
スプリット,14,4.4%,140.1,2,2,2,6,42.9%,33.3%,.333,3,1,0,1,0,0
ツーシーム,10,3.2%,139.2,0,2,3,2,50.0%,0.0%,.000,3,0,0,0,0,0
カーブ,8,2.5%,116.0,0,1,0,4,12.5%,0.0%,.000,3,0,0,0,0,0
シンカー,8,2.5%,135.9,2,0,1,3,37.5%,40.0%,.000,2,0,0,0,0,0
縦スライダー,5,1.6%,131.6,0,2,1,1,60.0%,0.0%,.000,2,0,0,1,0,0
スクリュー,3,0.9%,134.3,0,1,0,1,33.3%,0.0%,.000,1,0,0,0,0,0
ナックルカーブ,2,0.6%,128.0,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
スローカーブ,1,0.3%,90.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
