アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,26,38.2%,安打,20,69.0%
フライ,26,38.2%,四死球,6,20.7%
空三振,9,13.2%,失策出塁,2,6.9%
見三振,4,5.9%,野選,1,3.4%
犠打,3,4.4%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
