NOI363.9,GPA.189,RC4.79,RC271.72,XR4.95,XR271.78,RCAA-4.66,XR+-4.62,RCWIN-0.54,XRWIN-0.53,BABIP.270
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.31,0.050,24.00,7.38,0.023,-,0.046,0.361,0.00,17.7%,
