打率.230,試合60,打席96,打数87,得点14,安打20,内安2,内安率10.0,２Ｂ2,３Ｂ0,本塁0,HR勝敗0,塁打22,打点3,三振13
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
4,0,2,3,0,1,3,25.0,3,0,2,.208,.280,.253,.532
