HQS率25.0%,SQS率25.0%,被打率.213,被BABIP.246,被出塁率.300,被長打率.275,K/BB1.75,K/96.00,BB/93.43,HR/90.43,GO/AO0.41,援護率3.91,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.45,70.3%,-1.20,-0.14,1.09,83,0.0,23,10,0.0,0,0,0,
