防御率3.20,試合31,先発0,救援31,連投(試)0,連投(日)0,勝利1,敗戦1,HLD12,Ｓ0,ＨＰ13,ＳＰ1,救勝1,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,19.2,91,377,19.2,23,1,14,8,1,0,3,0,9,7,1.58,-
