HQS率-,SQS率-,被打率.284,被BABIP.328,被出塁率.344,被長打率.383,K/BB1.75,K/96.41,BB/93.66,HR/90.46,GO/AO0.50,援護率-,IPR2.19,NHB%41.9%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.04,74.3%,-1.69,-0.20,-0.36,189,3.2,0,0,19.2,9,13,25,
