HQS率44.0%,SQS率44.0%,被打率.217,被BABIP.265,被出塁率.269,被長打率.304,K/BB3.64,K/97.54,BB/92.07,HR/90.52,GO/AO1.29,援護率3.33,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.53,82.1%,16.75,1.97,15.63,579,0.0,165,61,0.0,0,0,0,
