HQS率-,SQS率-,被打率.302,被BABIP.421,被出塁率.378,被長打率.419,K/BB3.50,K/911.63,BB/93.32,HR/90.83,GO/AO1.29,援護率-,IPR1.67,NHB%35.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.77,70.2%,-5.13,-0.60,-5.84,155,5.2,0,0,21.2,13,10,20,
