条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.26,118,104,27,8,1,3,16,11,0,2,1
対左打者,0.222,44,36,8,0,0,1,9,3,1,3,1
