球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,590,39.5%,146.9,102,103,93,172,50.5%,32.4%,.295,166,49,6,50,11,2
スライダー,246,16.5%,129.7,52,29,38,94,48.4%,42.3%,.245,49,12,2,16,4,1
フォーク,140,9.4%,135.4,44,11,9,59,45.7%,62.9%,.216,37,8,1,20,3,0
カットボール,135,9.0%,137.3,36,17,16,34,51.1%,42.9%,.300,40,12,2,9,1,0
ツーシーム,95,6.4%,143.4,17,14,21,24,54.7%,29.8%,.316,19,6,0,2,0,0
チェンジアップ,91,6.1%,127.2,23,6,17,34,50.5%,45.1%,.200,20,4,1,9,1,0
スプリット,64,4.3%,137.1,13,2,13,26,43.8%,36.1%,.067,15,1,0,5,2,0
カーブ,50,3.3%,117.3,6,4,6,24,32.0%,27.3%,.643,14,9,0,4,0,0
シュート,27,1.8%,142.4,1,2,5,14,29.6%,9.1%,.200,5,1,0,0,0,2
縦スライダー,16,1.1%,129.9,2,3,3,6,50.0%,28.6%,.000,3,0,0,1,1,0
ナックルカーブ,15,1.0%,126.7,4,5,1,4,66.7%,66.7%,.000,2,0,0,1,0,0
シンカー,14,0.9%,137.7,7,1,2,4,71.4%,77.8%,.000,3,0,0,3,0,0
パワーカーブ,6,0.4%,123.5,1,2,1,2,66.7%,50.0%,.000,2,0,0,2,0,0
スクリュー,2,0.1%,128.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
スローカーブ,1,0.1%,-,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
パーム,1,0.1%,133.0,1,0,0,0,100.0%,100.0%,-,0,0,0,0,0,0
