NOI121.2,GPA.064,RC-0.91,RC27-1.07,XR-0.74,XR27-0.87,RCAA-3.29,XR+-3.13,RCWIN-0.39,XRWIN-0.37,BABIP.143
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,3.13,0.000,-,0.000,0.100,-,32.0%,
